has_noise False
fully_continuous True
fully_bounded True
ChainMetaModelPowell 61 7442
Cobyla 62 1
MetaModelOnePlusOne 62 3101
ChainMetaModelPowell 62 7688
Cobyla 63 1
MetaModelOnePlusOne 63 3151
ChainMetaModelPowell 63 7938
Cobyla 64 1
MetaModelOnePlusOne 64 3201
ChainMetaModelPowell 64 8192
Cobyla 65 1
MetaModelOnePlusOne 65 3251
ChainMetaModelPowell 65 8450
Cobyla 66 1
MetaModelOnePlusOne 66 3301
ChainMetaModelPowell 66 8712
Cobyla 67 1
MetaModelOnePlusOne 67 3351
ChainMetaModelPowell 67 8978
Cobyla 68 1
MetaModelOnePlusOne 68 3401
ChainMetaModelPowell 68 9248
Cobyla 69 1
MetaModelOnePlusOne 69 3451
ChainMetaModelPowell 69 9522
Cobyla 70 1
MetaModelOnePlusOne 70 3501
ChainMetaModelPowell 70 9800
Cobyla 71 1
MetaModelOnePlusOne 71 3551
Cobyla 72 1
MetaModelOnePlusOne 72 3601
Cobyla 73 1
MetaModelOnePlusOne 73 3651
Cobyla 74 1
MetaModelOnePlusOne 74 3701
Cobyla 75 1
MetaModelOnePlusOne 75 3751
Cobyla 76 1
MetaModelOnePlusOne 76 3801
Cobyla 77 1
MetaModelOnePlusOne 77 3851
Cobyla 78 1
MetaModelOnePlusOne 78 3901
Cobyla 79 1
MetaModelOnePlusOne 79 3951
Cobyla 80 1
MetaModelOnePlusOne 80 4001
Cobyla 81 1
MetaModelOnePlusOne 81 4051
Cobyla 82 1
MetaModelOnePlusOne 82 4101
Cobyla 83 1
MetaModelOnePlusOne 83 4151
Cobyla 84 1
MetaModelOnePlusOne 84 4201
Cobyla 85 1
MetaModelOnePlusOne 85 4251
Cobyla 86 1
MetaModelOnePlusOne 86 4301
Cobyla 87 1
MetaModelOnePlusOne 87 4351
Cobyla 88 1
MetaModelOnePlusOne 88 4401
Cobyla 89 1
MetaModelOnePlusOne 89 4451
Cobyla 90 1
MetaModelOnePlusOne 90 4501
Cobyla 91 1
MetaModelOnePlusOne 91 4551
Cobyla 92 1
MetaModelOnePlusOne 92 4601
Cobyla 93 1
MetaModelOnePlusOne 93 4651
Cobyla 94 1
MetaModelOnePlusOne 94 4701
Cobyla 95 1
MetaModelOnePlusOne 95 4751
Cobyla 96 1
MetaModelOnePlusOne 96 4801
Cobyla 97 1
MetaModelOnePlusOne 97 4851
Cobyla 98 1
MetaModelOnePlusOne 98 4901
Cobyla 99 1
MetaModelOnePlusOne 99 4951
Cobyla 100 1
MetaModelOnePlusOne 100 5001
