dimensions,budget,problem,algorithm,perf_a,perf_b,equal
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),384.2295071471,427.7629856608,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),390.5846734903,412.2622642563,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),432.9135621624,436.5976194525,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),488.0470464197,423.0401475671,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),412.6404912101,406.0158392974,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),465.9128682718,435.2752019919,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),399.4328578214,387.7158344801,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),362.2230084825,377.3413232577,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),409.3076482974,401.6407216959,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),368.291077419,407.2762827083,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),464.3022753621,453.2420159835,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),407.6933668874,404.5729819932,False
100,200,f1_Sphere,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),349.1639845947,392.5737162397,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,537.2073875685,1341.2037555222,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,460.2257022166,1323.5933913674,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,508.2875362049,1145.0652034753,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,433.3962581993,1067.7818670324,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,347.3877676962,1200.1384873007,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,483.7491545289,1094.2873348262,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,455.6153984108,938.171992643,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,469.9129511511,1149.4956457544,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,454.1701374296,956.0346505486,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,475.3751880706,1285.0171346297,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,470.6006423559,1176.415548643,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,616.204525727,1293.9902388236,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,538.1971634216,1302.078655234,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,467.4213369165,1194.7619154825,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,408.8333120036,1415.4258222053,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,502.4272109763,1205.6400116584,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,557.3146403389,1275.5670661584,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,482.214549,1484.2285640249,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,502.3546570195,1457.1121869394,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,455.0069450723,991.6848296997,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,659.0226844639,1108.6880830951,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,519.4304388659,1317.8388710412,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,491.1788245139,1061.4401839827,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,358.6301528504,1100.7944853998,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_12,362.4309088133,1219.6042883733,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,536.5415179496,1334.2213811433,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,508.1488857786,1335.4308086365,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,461.321025546,1132.2361862544,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,414.2559268395,1073.8049420647,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,462.0504884636,1196.7983712245,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,483.7491545289,1071.8734050345,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,463.1162825652,934.8377983327,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,538.3545649647,1137.6772095546,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,418.9639269421,964.9810320967,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,448.8135868307,1281.3419577667,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,465.2585450311,1176.273115424,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,553.7707843165,1295.5466014617,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,550.0424863728,1297.8483870484,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,603.4543347225,1196.9609936001,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,396.5842969286,1401.5002574706,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,502.4272109763,1193.9688536249,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,497.8207569016,1265.9473988627,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,482.214549,1487.3439579895,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,492.933321246,1463.1948121129,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,514.4756059818,994.5804715563,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,659.0226844639,1090.4171899284,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,517.474072944,1315.2600293315,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,485.6792958393,1059.469074108,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,358.6301528504,1083.4770381975,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_11,470.1842547893,1212.4144402372,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,535.9533142718,1332.0247274196,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,464.2733911166,1328.2304406177,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,501.3168257205,1139.0689675449,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,390.8678214995,1073.4916220042,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,410.8975395007,1186.6152009792,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,483.7491545289,1080.4501095179,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,515.7130645324,931.7493645262,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,492.0178827691,1150.7536200058,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,494.6110520841,961.9472217255,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,495.7185934159,1276.1503187922,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,475.4294434348,1178.7072055912,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,495.4092223817,1306.0602258117,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,493.4493212845,1296.0147111045,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,496.5772296295,1184.2471972669,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,393.6441788685,1410.9110244572,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,502.4272109763,1206.8327133877,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,516.4032179775,1273.1665753381,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,482.214549,1494.6057735785,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,450.9864449434,1449.4021976724,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,432.3186967378,999.1704386622,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,659.0226844639,1100.3760012004,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,517.474072944,1322.5389765659,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,481.0273062977,1060.8816125395,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,358.6301528504,1088.9324635254,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_10,384.2589975096,1208.1357800596,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,474.3048479457,1329.3703971185,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,489.7647270178,1324.7207113838,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,588.3436189394,1134.2468157227,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,462.2340285628,1081.5704898755,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,382.0031330025,1183.7759017189,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,474.4840900255,1087.7055923264,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,515.7130645324,924.1459172643,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,472.1522451567,1147.6935878161,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,488.6085601138,958.22349108,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,313.9363975904,1261.8747559145,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,475.4294434348,1174.3056191108,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,520.3613930123,1282.6136876757,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,492.6410535954,1293.7780234529,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,578.6819218763,1188.3908339458,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,454.7068826405,1397.143669838,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,502.4272109763,1191.4334238163,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,516.4032179775,1284.9076384589,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,482.214549,1484.5961436398,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,440.5136528479,1449.1125128753,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,552.1323593694,997.4015436076,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,659.0226844639,1108.3936338339,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,517.474072944,1307.1680219528,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,481.0273062977,1066.3369383998,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,358.6301528504,1083.4719214474,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_9,384.2589975096,1198.7054221708,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,469.9244242493,1320.7727109183,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,425.6398952302,1312.824539719,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,660.9908297822,1126.5812916228,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,424.6185608681,1074.0958604294,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,386.4542948706,1179.744672125,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,474.4840900255,1072.1195261948,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,515.7130645324,914.5240152021,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,429.8702914675,1129.7498658785,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,488.6085601138,939.6320790455,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,416.0235487327,1271.0024550567,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,462.1482964045,1161.5199598269,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,551.1349645387,1279.4102975085,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,492.6410535954,1289.2937261809,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,452.8300141366,1177.3106761843,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,511.9710252913,1389.5675379269,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,502.4272109763,1201.8399315211,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,516.4032179775,1254.9650274858,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,482.214549,1471.6410157689,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,416.7423014213,1440.8499002748,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,448.2994249085,992.4042464729,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,629.0431212332,1100.1539369215,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,517.474072944,1315.5260204915,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,481.0273062977,1053.0419500227,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,358.6301528504,1099.4144482465,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_8,384.2589975096,1208.5964469098,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,492.2202293615,1323.6658973202,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,512.5911748406,1300.2928602969,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,561.8756714957,1132.0679293716,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,428.2358110396,1074.8402464254,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,412.9600882079,1177.5341534572,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,474.4840900255,1078.3832074124,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,515.7130645324,924.7508993277,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,551.4807774582,1141.9202263792,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,488.6085601138,947.5596710487,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,314.776627744,1260.4418980114,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,465.7441938114,1173.043915958,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,521.6526066519,1289.086619539,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,363.1528837663,1274.3935688332,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,477.6564606915,1176.9722136179,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,380.549998278,1404.2365371224,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,496.9820057594,1193.5862245842,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,556.3708061945,1276.3683226583,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,479.5098778346,1475.2874679312,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,452.9613966095,1452.3831402715,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,437.2277522644,993.9516345907,False
100,200,f1_Sphere,ConfPortfolio_scale2_NA_ngopt14s_7,629.0431212332,1097.5132811454,False
