dimensions,budget,algorithm,points,rank,ngopt rank
2,200,CMA,53.0,5,5
2,200,ChainMetaModelPowell,103.0,3,3
2,200,Cobyla,46.0,10,10
2,200,MetaModel,103.0,3,0
2,200,MetaModelOnePlusOne,110.0,2,2
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),172.0,1,-1
2,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,33,33
2,200,ConfPortfolio_scale2_NA_ngopt14s_11,1.0,31,31
2,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,33,33
2,200,ConfPortfolio_scale2_NA_ngopt14s_9,1.0,31,31
2,200,ConfPortfolio_scale2_NA_ngopt14s_8,2.0,26,26
2,200,ConfPortfolio_scale2_NA_ngopt14s_7,2.0,26,26
2,200,ConfPortfolio_scale2_NA_ngopt14s_6,4.0,22,22
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,49.0,7,7
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,47.0,8,8
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,47.0,8,8
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,39.0,11,11
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,36.0,12,12
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,8.0,15,15
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,6.0,17,17
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,4.0,22,22
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,7.0,16,16
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,2.0,26,26
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,3.0,24,24
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,5.0,20,20
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,2.0,26,26
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,3.0,24,24
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,5.0,20,20
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,6.0,17,17
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,2.0,26,26
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,6.0,17,17
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,9.0,14,14
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,14.0,13,13
2,200,ConfPortfolio_scale2_NA_ngopt14s_1,53.0,5,5
3,200,CMA,48.0,6,6
3,200,ChainMetaModelPowell,91.0,3,3
3,200,Cobyla,64.0,5,5
3,200,MetaModel,91.0,3,3
3,200,MetaModelOnePlusOne,130.0,2,2
3,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),144.0,1,0
3,200,ConfPortfolio_scale2_NA_ngopt14s_12,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_11,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_10,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_9,4.0,17,17
3,200,ConfPortfolio_scale2_NA_ngopt14s_8,2.0,25,25
3,200,ConfPortfolio_scale2_NA_ngopt14s_7,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_6,1.0,29,29
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,41.0,8,8
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,35.0,9,9
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,33.0,10,10
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,31.0,11,11
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,29.0,12,12
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,3.0,21,21
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,2.0,25,25
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,6.0,13,13
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,2.0,25,25
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,4.0,17,17
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,4.0,17,17
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,3.0,21,21
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,1.0,29,29
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,5.0,14,14
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,2.0,25,25
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,3.0,21,21
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,5.0,14,14
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,4.0,17,17
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,5.0,14,14
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,3.0,21,21
3,200,ConfPortfolio_scale2_NA_ngopt14s_1,48.0,6,6
5,200,CMA,31.0,6,6
5,200,ChainMetaModelPowell,63.0,4,4
5,200,Cobyla,142.0,3,0
5,200,MetaModel,63.0,4,4
5,200,MetaModelOnePlusOne,178.0,1,-1
5,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),157.0,2,2
5,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,28,28
5,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,28,28
5,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,28,28
5,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,28,28
5,200,ConfPortfolio_scale2_NA_ngopt14s_8,0.0,28,28
5,200,ConfPortfolio_scale2_NA_ngopt14s_7,2.0,11,11
5,200,ConfPortfolio_scale2_NA_ngopt14s_6,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,7.0,8,8
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,5.0,10,10
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,0.0,28,28
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,0.0,28,28
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,1.0,20,20
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,2.0,11,11
5,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,6.0,9,9
5,200,ConfPortfolio_scale2_NA_ngopt14s_1,31.0,6,6
10,200,CMA,25.0,7,7
10,200,ChainMetaModelPowell,52.0,4,4
10,200,Cobyla,189.0,1,0
10,200,MetaModel,52.0,4,4
10,200,MetaModelOnePlusOne,166.0,2,2
10,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),144.0,3,3
10,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,32,32
10,200,ConfPortfolio_scale2_NA_ngopt14s_11,1.0,17,17
10,200,ConfPortfolio_scale2_NA_ngopt14s_10,1.0,17,17
10,200,ConfPortfolio_scale2_NA_ngopt14s_9,1.0,17,17
10,200,ConfPortfolio_scale2_NA_ngopt14s_8,2.0,10,10
10,200,ConfPortfolio_scale2_NA_ngopt14s_7,2.0,10,10
10,200,ConfPortfolio_scale2_NA_ngopt14s_6,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,3.0,9,9
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,2.0,10,10
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,2.0,10,10
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,2.0,10,10
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,0.0,32,32
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,0.0,32,32
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,2.0,10,10
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,1.0,17,17
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,2.0,10,10
10,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,5.0,8,8
10,200,ConfPortfolio_scale2_NA_ngopt14s_1,52.0,4,4
15,200,CMA,12.0,4,4
15,200,ChainMetaModelPowell,12.0,4,4
15,200,Cobyla,276.0,1,0
15,200,MetaModel,12.0,4,4
15,200,MetaModelOnePlusOne,139.0,2,2
15,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),118.0,3,3
15,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,26,26
15,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,26,26
15,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,26,26
15,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,26,26
15,200,ConfPortfolio_scale2_NA_ngopt14s_8,1.0,12,12
15,200,ConfPortfolio_scale2_NA_ngopt14s_7,0.0,26,26
15,200,ConfPortfolio_scale2_NA_ngopt14s_6,0.0,26,26
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,2.0,8,8
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,2.0,8,8
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,0.0,26,26
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,2.0,8,8
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,0.0,26,26
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,0.0,26,26
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,1.0,12,12
15,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,2.0,8,8
15,200,ConfPortfolio_scale2_NA_ngopt14s_1,12.0,4,4
20,200,CMA,4.0,4,4
20,200,ChainMetaModelPowell,4.0,4,4
20,200,Cobyla,293.0,1,0
20,200,MetaModel,4.0,4,4
20,200,MetaModelOnePlusOne,129.0,3,3
20,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),144.0,2,2
20,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,31,31
20,200,ConfPortfolio_scale2_NA_ngopt14s_11,1.0,15,15
20,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,31,31
20,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,31,31
20,200,ConfPortfolio_scale2_NA_ngopt14s_8,0.0,31,31
20,200,ConfPortfolio_scale2_NA_ngopt14s_7,1.0,15,15
20,200,ConfPortfolio_scale2_NA_ngopt14s_6,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,2.0,9,9
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,2.0,9,9
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,2.0,9,9
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,3.0,8,8
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,2.0,9,9
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,2.0,9,9
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,2.0,9,9
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,1.0,15,15
20,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,1.0,15,15
20,200,ConfPortfolio_scale2_NA_ngopt14s_1,4.0,4,4
25,200,CMA,3.0,4,4
25,200,ChainMetaModelPowell,3.0,4,4
25,200,Cobyla,325.0,1,0
25,200,MetaModel,3.0,4,4
25,200,MetaModelOnePlusOne,95.0,3,3
25,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),156.0,2,2
25,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_8,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_7,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_6,0.0,23,23
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,1.0,8,8
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,0.0,23,23
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,0.0,23,23
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,0.0,23,23
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,0.0,23,23
25,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,0.0,23,23
25,200,ConfPortfolio_scale2_NA_ngopt14s_1,3.0,4,4
30,200,CMA,5.0,4,4
30,200,ChainMetaModelPowell,5.0,4,4
30,200,Cobyla,321.0,1,0
30,200,MetaModel,5.0,4,4
30,200,MetaModelOnePlusOne,107.0,3,3
30,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),149.0,2,2
30,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,12,12
30,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,12,12
30,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,12,12
30,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,12,12
30,200,ConfPortfolio_scale2_NA_ngopt14s_8,0.0,12,12
30,200,ConfPortfolio_scale2_NA_ngopt14s_7,0.0,12,12
30,200,ConfPortfolio_scale2_NA_ngopt14s_6,1.0,8,8
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,1.0,8,8
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,1.0,8,8
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,0.0,12,12
30,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,1.0,8,8
30,200,ConfPortfolio_scale2_NA_ngopt14s_1,5.0,4,4
35,200,CMA,4.0,4,4
35,200,ChainMetaModelPowell,4.0,4,4
35,200,Cobyla,317.0,1,0
35,200,MetaModel,4.0,4,4
35,200,MetaModelOnePlusOne,95.0,3,3
35,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),153.0,2,2
35,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,28,28
35,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,28,28
35,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,28,28
35,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,28,28
35,200,ConfPortfolio_scale2_NA_ngopt14s_8,1.0,9,9
35,200,ConfPortfolio_scale2_NA_ngopt14s_7,0.0,28,28
35,200,ConfPortfolio_scale2_NA_ngopt14s_6,0.0,28,28
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,2.0,8,8
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,0.0,28,28
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,1.0,9,9
35,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,1.0,9,9
35,200,ConfPortfolio_scale2_NA_ngopt14s_1,4.0,4,4
40,200,CMA,4.0,4,4
40,200,ChainMetaModelPowell,4.0,4,4
40,200,Cobyla,332.0,1,0
40,200,MetaModel,4.0,4,4
40,200,MetaModelOnePlusOne,82.0,3,3
40,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),164.0,2,2
40,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,12,12
40,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,12,12
40,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,12,12
40,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,12,12
40,200,ConfPortfolio_scale2_NA_ngopt14s_8,0.0,12,12
40,200,ConfPortfolio_scale2_NA_ngopt14s_7,0.0,12,12
40,200,ConfPortfolio_scale2_NA_ngopt14s_6,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,2.0,8,8
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,1.0,10,10
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,1.0,10,10
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,0.0,12,12
40,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,2.0,8,8
40,200,ConfPortfolio_scale2_NA_ngopt14s_1,4.0,4,4
45,200,CMA,3.0,4,4
45,200,ChainMetaModelPowell,3.0,4,4
45,200,Cobyla,322.0,1,0
45,200,MetaModel,3.0,4,4
45,200,MetaModelOnePlusOne,96.0,3,3
45,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),170.0,2,2
45,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,10,10
45,200,ConfPortfolio_scale2_NA_ngopt14s_11,0.0,10,10
45,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,10,10
45,200,ConfPortfolio_scale2_NA_ngopt14s_9,0.0,10,10
45,200,ConfPortfolio_scale2_NA_ngopt14s_8,0.0,10,10
45,200,ConfPortfolio_scale2_NA_ngopt14s_7,0.0,10,10
45,200,ConfPortfolio_scale2_NA_ngopt14s_6,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,1.0,8,8
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,0.0,10,10
45,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,1.0,8,8
45,200,ConfPortfolio_scale2_NA_ngopt14s_1,3.0,4,4
50,200,CMA,5.0,4,4
50,200,ChainMetaModelPowell,5.0,4,4
50,200,Cobyla,304.0,1,0
50,200,MetaModel,5.0,4,4
50,200,MetaModelOnePlusOne,106.0,3,3
