dimensions,budget,algorithm,rank,ngopt rank,algo ID
80,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
25,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,10000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
90,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
2,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,4,4,20
100,1500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,200,CMA,4,4,0
50,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,9000,CMA,4,4,0
45,9000,MetaModel,4,4,3
50,2500,CMA,4,4,0
60,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,10000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
45,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,200,CMA,4,4,0
45,2500,CMA,4,4,0
90,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
70,2000,CMA,4,4,0
70,200,CMA,4,4,0
70,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,9000,Cobyla,4,4,2
40,2500,CMA,4,4,0
50,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
50,200,CMA,4,4,0
80,2000,CMA,4,4,0
2,2000,CMA,4,4,0
70,9000,CMA,4,4,0
35,2500,ChainMetaModelPowell,4,4,1
80,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,10000,CMA,4,4,0
35,10000,MetaModel,4,4,3
45,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,200,CMA,4,4,0
45,200,CMA,4,4,0
40,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
40,9000,MetaModel,4,4,3
40,9000,CMA,4,4,0
10,200,ChainMetaModelPowell,4,4,1
60,10000,CMA,4,4,0
90,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
15,9000,ChainMetaModelPowell,4,4,1
30,2500,ChainMetaModelPowell,4,4,1
20,200,CMA,4,4,0
90,2500,CMA,4,4,0
90,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
35,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,9000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
20,9000,ChainMetaModelPowell,4,4,1
90,200,CMA,4,4,0
60,2000,CMA,4,4,0
80,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
80,2500,CMA,4,4,0
60,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
25,9000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
100,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),4,4,5
10,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
70,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,2500,CMA,4,4,0
35,9000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
60,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
100,1500,CMA,4,4,0
35,200,CMA,4,4,0
90,2000,CMA,4,4,0
90,2000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
30,9000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38
70,2500,CMA,4,4,0
