dimensions,budget,algorithm,rank,ngopt rank,algo ID
20,3000,MetaModel,2,2,3
20,3000,ChainMetaModelPowell,2,2,1
20,3000,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38
25,3000,MetaModel,2,2,3
2,3000,MetaModel,2,2,3
3,9000,MetaModel,2,2,3
15,6000,MetaModel,2,2,3
15,1000,MetaModelOnePlusOne,2,2,4
70,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
2,3000,ChainMetaModelPowell,2,2,1
25,9000,CMA,2,2,0
35,9000,CMA,2,2,0
100,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
35,9000,MetaModel,2,2,3
90,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
45,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
90,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
80,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
80,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
100,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
15,9000,MetaModel,2,2,3
70,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
30,5000,MetaModel,2,2,3
10,9000,MetaModel,2,2,3
45,9000,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38
50,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
30,9000,CMA,2,2,0
40,9000,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38
30,5000,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38
30,5000,ChainMetaModelPowell,2,2,1
60,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5
40,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
5,5000,MetaModel,3,3,3
40,5000,ChainMetaModelPowell,3,3,1
5,5000,ChainMetaModelPowell,3,3,1
90,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
90,5000,CMA,3,3,0
10,6000,ChainMetaModelPowell,3,3,1
80,500,MetaModelOnePlusOne,3,3,4
3,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
25,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
45,5000,ChainMetaModelPowell,3,3,1
50,500,MetaModelOnePlusOne,3,3,4
45,500,MetaModelOnePlusOne,3,3,4
